gen	nevals	avg    	std     	min     	max    
0  	15    	1.56412	0.819913	0.300071	3.68295
1  	2     	1.85104	0.767125	0.886805	3.68295
2  	7     	1.67982	0.69379 	0.866228	3.68295
3  	4     	1.70524	0.871437	0.866228	3.68295
4  	7     	1.34108	0.517145	0.574155	2.37151
5  	9     	1.30348	0.533113	0.366522	2.32161
6  	4     	1.4564 	0.512604	1.06346 	2.32161
7  	9     	1.31906	0.396508	1.04058 	2.28267
[[7, 12, 50]]
